fecha,total,region: América Del Centro,region: América Del Norte,region: Europa,frontera: La Aurora,frontera: Valle Nuevo,frontera: San Cristóbal
2009-01-01,149944.02934517286,93848.08764638269,36033.941698790186,12061.0,81271.0,16204.815817785888,8495.004015575567
2009-02-01,127303.6922033775,73988.38726361323,33970.304939764275,12642.0,69663.0,17754.437037243595,6972.0
2009-03-01,158795.67381860284,96398.15089958302,41482.52291901983,13676.0,84051.0,27236.74471006802,12785.024596235648
2009-04-01,172013.46769401644,114286.68210111491,39595.78559290153,10562.0,80247.0,36564.959498224045,7681.602680374304
2009-05-01,124559.52435069307,83304.46991481968,29239.054435873386,6245.0,64456.0,26924.008001322585,5112.796082130378
2009-06-01,151442.80337827274,95701.16345514706,42017.63992312568,6653.0,81382.0,30067.35691343928,8135.124658869394
2009-07-01,137616.9517422195,96269.46908603169,29178.482656187807,6326.0,74653.0,28307.596798707826,5673.67916212595
2009-08-01,179344.0418037644,125733.14353015932,36449.89827360508,10170.0,75763.0,51365.15044045175,10293.109044197567
2009-09-01,132791.13353560158,98025.43176153029,22160.701774071294,6324.0,61861.0,33223.75025511329,7955.319227172692
2009-10-01,153153.6097868689,111261.15331887046,27973.456467998454,7377.0,72828.0,35033.18554977948,14384.071163360097
2009-11-01,173623.2729586916,125806.13586866151,30074.137090030097,10931.0,82212.0,38182.357177253354,18019.920823910867
2009-12-01,219594.65119713946,157418.39726927842,46425.25392786106,9223.0,103686.0,45869.99332881604,15232.967488603832
2010-01-01,162333.26551165638,106483.00864475268,37862.25686690369,9873.0,84867.0,19016.36973030279,13020.890995376009
2010-02-01,132527.46022602476,81072.35634648062,33685.103879544135,10714.0,68976.0,20638.23918072824,10600.969619282469
2010-03-01,163351.09275954103,95843.31992274322,48435.772836797805,11484.0,88502.0,21857.55870946281,8012.539753627781
2010-04-01,170870.90530317114,119646.12130044593,34912.7840027252,8727.0,76253.0,39169.02771231902,11633.394301779903
2010-05-01,141291.6089476861,97354.13690504673,30032.47204263936,7041.0,64915.0,32335.391583272623,9106.564500206263
2010-06-01,155468.9470746268,99435.3180438589,42844.6290307679,6520.0,84460.0,33832.65557331627,8449.17585462329
2010-07-01,199667.83285998116,125130.32973600173,54110.503123979426,12284.0,102148.0,41824.54209636303,8911.784278168912
2010-08-01,183931.0306162957,127001.82976361034,37421.200852685346,11594.0,79034.0,49011.42659093587,10326.606357475835
2010-09-01,130760.34969839198,95456.26841146746,21925.08128692452,6155.0,62772.0,29919.853689875574,10143.996334955009
2010-10-01,157632.1243212268,114303.65364534994,27855.470675876837,7993.0,76192.0,32624.87706011207,18005.04406735455
